"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","CLEVELAND, OH"
"Lat (deg N):","41.4"
"Long (deg W):","81.85"
"Elev (m):","245"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","6","1","0","0","-3.3","10.3","0","-3.3","0","0"
"1","6","2","0","0","-2.8","10.3","0","-2.8","0","0"
"1","6","3","0","0","-2.8","8.8","0","-2.8","0","0"
"1","6","4","0","0","-3.3","6.2","0","-3.3","0","0"
"1","6","5","0","0","-3.3","9.3","0","-3.3","0","0"
"1","6","6","0","0","-3.9","6.7","0","-3.9","0","0"
"1","6","7","0","0","-6.1","6.2","0","-6.1","0","0"
"1","6","8","1","20","-6.7","5.2","19.244","-7.799","76.181","52.524"
"1","6","9","55","84","-6.1","7.7","115.328","-5.47","446.667","415.521"
"1","6","10","167","150","-6.1","6.2","272.111","-2.549","1046.52","1000.77"
"1","6","11","192","196","-5.6","6.2","357.331","-0.375","1368.676","1313.817"
"1","6","12","228","221","-5.6","6.7","419.373","0.483","1602.168","1540.155"
"1","6","13","198","182","-6.7","5.2","345.039","-0.846","1324.061","1270.516"
"1","6","14","187","180","-7.2","5.2","323.912","-1.871","1243.791","1192.568"
"1","6","15","146","104","-7.2","5.2","190.557","-4.475","729.427","691.779"
"1","6","16","63","39","-7.2","4.6","66.826","-7.047","251.271","224.22"
"1","6","17","0","0","-7.2","4.1","0","-7.2","0","0"
"1","6","18","0","0","-7.8","4.1","0","-7.8","0","0"
"1","6","19","0","0","-7.8","3.1","0","-7.8","0","0"
"1","6","20","0","0","-8.3","3.1","0","-8.3","0","0"
"1","6","21","0","0","-8.3","3.6","0","-8.3","0","0"
"1","6","22","0","0","-8.3","4.1","0","-8.3","0","0"
"1","6","23","0","0","-8.3","2.6","0","-8.3","0","0"
"1","7","0","0","0","-8.3","3.6","0","-8.3","0","0"
